annual_inc,bc_open_to_buy,bc_util,int_rate,loan_amnt,max_bal_bc,percent_bc_gt_75,total_bc_limit,total_rec_int,total_rev_hi_lim,emp_length_int,grade_label,application_type_Joint App,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,term_ 60 months,title_Car financing,title_Credit card refinancing,title_Debt consolidation,title_Green loan,title_Home buying,title_Home improvement,title_Major purchase,title_Medical expenses,title_Moving and relocation,title_Other,title_Vacation,verification_status_Source Verified,verification_status_Verified
65000,232,96.9,23.4,9600,2264,85.7,7600,352.04,28500,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33000,4596,66.9,26.31,16000,2703,55.6,13900,663.64,34900,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
90000,9503,83.8,23.4,13000,18037,66.7,58600,476.73,62600,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
43000,126,94.5,23.4,8000,2174,100,2300,293.37,11100,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
49700,491,82.5,23.4,3300,2091,50,2800,121.01,8900,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19000,709,93.4,26.31,12000,8041,100,10700,495.01,19100,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171000,1753,87.5,27.27,25000,12247,50,14000,549.19,26000,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52000,6483,54.3,23.4,1250,4356,0,14200,45.93,27900,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
50000,67,99.3,30.75,1000,4959,100,9900,48.25,9900,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
90000,20174,7.9,23.4,4000,1353,0,21900,146.69,27100,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
140000,0,103.8,23.4,16000,3599,100,16900,436.8,19900,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52000,9838,58.5,25.34,16000,3114,55.6,23700,635.58,28500,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100000,12240,24.4,23.4,9600,937,9.1,16200,352.04,24300,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49400,16465,15.6,23.4,8000,1412,12.5,19500,293.37,41400,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55000,1119,89.3,23.4,10000,3122,100,10500,368.76,22000,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
50000,8842,12.5,27.27,30000,1258,0,10100,1289.89,11800,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
88000,596,79.4,27.27,16000,1231,50,2900,687.94,4900,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
62000,17510,51.9,26.31,30000,5976,14.3,36400,1244.33,47500,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
140000,8,99.7,27.27,24000,2792,100,2800,1031.91,19500,5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19200,470,88.3,23.4,7075,2179,66.7,4000,259.45,10000,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29000,193,35.7,23.4,1000,107,0,300,36.67,300,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450000,11632,74.6,27.27,8425,9744,50,45800,310.15,56000,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56000,44474,23.5,23.4,7200,8699,11.1,58100,221.91,61300,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35000,6084,51.3,23.4,1000,2212,66.7,12500,36.67,22700,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39000,5800,0,23.4,1000,0,0,5800,36.67,5800,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90000,820,89.1,23.4,10000,4782,100,7500,366.71,10000,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150000,15550,42,24.37,12000,4597,50,26800,460.92,30300,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
60000,4974,72.8,23.4,1000,7688,50,18300,22.65,18300,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
130000,12812,61.3,23.4,10000,6034,57.1,33100,240.5,36500,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80000,0,100.6,24.37,3000,22355,100,48700,114.6,50200,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13520,6500,0,26.31,2200,0,0,6500,90.76,8300,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
704000,22239,96.4,27.27,25000,103286,100,166300,1069.07,166300,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
142500,1142,90.8,23.4,14225,4916,100,12400,521.65,13200,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33000,1125,25,23.4,2500,375,0,1500,91.67,3200,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130000,11532,61,23.4,25000,5439,40,29600,682.5,50400,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
85000,7,99.9,27.27,17000,4039,100,7200,412.08,24500,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
57000,6872,48.7,23.4,10300,4012,0,13400,283.99,14800,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60000,3985,64.1,24.37,35000,3283,66.7,11100,1336.91,24600,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51000,10153,33.6,27.27,32000,4957,10,15300,1375.88,15300,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
120000,19252,54.9,26.31,30000,10740,40,42700,613.89,87600,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
